分支,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
,/购物,通过搜索方式找商品，加入购物车后在线支付购买商品,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，填写收货人信息、支付方式、配送方式，选择优惠券，提交订单
8.选择支付宝扫码支付
9.支付",购买成功,,,功能测试,功能测试阶段
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入0",商品个数自动改为1,,,,
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数选择-1",商品个数自动改为1,,,,
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入1",正常,,,,
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入100000（超过库存）",自动改为200,,,,
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入含有数字的特殊字符*&ji23",自动将特殊字符去掉，只留下数字,,,,
,/购物,通过搜索商品，进入商品详情页，选择商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入纯特殊字符*&ji",改为最近一次输入的正确数字,,,,
,/购物,通过搜索商品，进入商品详情页，在详情页中增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.商品个数输入一百",改为最近一次输入的正确数字,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为0
",商品个数自动改为1,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为-1
",商品个数自动改为1,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为1
",正常,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为1000（超库存）
",提示商品个数不能大于200，个数自动改为1,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为*））&",提示商品数量超限，个数自动改为1,,,,
,/购物,通过搜索商品加入购物车，在购物车中维护商品，增减商品个数（边界值）,,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，增值服务，商品个数为2
5.加入购物车
6.在购物车中，把商品的个数改为一百
",提示商品数量超限，个数自动改为1,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息“地址一栏输入不选择地址或者地址选择不完整",提示请您填写地区信息或请您填写完整的地区信息,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息“收货人一栏输入空格或者不输入任何字符",提示请您填写收货人姓名,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息“收货人一栏输入特殊字符、汉字、数字",正常,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息“地址一栏输入不选择地址或者地址选择不完整",,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息“详细地址一栏输入空格或者不输入任何字符",提示请您填写收货人详细地址,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息详细地址一栏输入特殊字符、汉字、数字",正常,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息手机号码一栏输入特殊字符、汉字",提示手机号格式不对，请重新输入,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息手机号码一栏输入空格或者不填写",提示请您填写收货人手机号码,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息手机号码一栏输入数字，位数小于11位",提示手机号格式不对，请重新输入,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息手机号码一栏输入数字，位数大于11位",提示手机号格式不对，请重新输入,,,,
,/购物,通过搜索方式找商品，加入购物车，结算时维护收货人信息,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，收货人信息手机号码一栏输入数字，位数等于11位",正常,,,,
,/购物,支付时，余额不足，扣款失败,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，填写收货人信息、支付方式、配送方式，选择优惠券，提交订单
8.选择支付宝扫码支付
9.余额不足扣款失败",订单状态为待支付，订单表落一条、细目表落一条，数据状态正确，为未支付,,,,
,/购物,用户取消,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，填写收货人信息、支付方式、配送方式，选择优惠券，提交订单
8.选择支付宝扫码支付
9.用户取消付款",订单状态为待支付，订单表落一条、细目表落一条，数据状态正确，为未支付,,,,
,/购物,银行卡已注销,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，填写收货人信息、支付方式、配送方式，选择优惠券，提交订单
8.选择支付宝扫码支付
9.银行卡去注销，扣款失败",订单状态为待支付，订单表落一条、细目表落一条，数据状态正确，为未支付,,,,
,/购物,超时,已登录用户,"1. 打开京东首页
2. 搜索商品“”珍珠粉”
3. 选择其中一款商品，进入商品详情页
4.选择商品规格，个数，增值服务
5.加入购物车
6.在购物车维护商品，增减商品个数
7.结算商品，填写收货人信息、支付方式、配送方式，选择优惠券，提交订单
8.选择支付宝扫码支付
9.返回超时",订单状态为待支付，订单表落一条、细目表落一条，程序异步到支付宝查询支付结果，按支付宝最终结果修改订单状态。,,,,
